2022-01-04 16:54:09,506 [RMI TCP Connection(2)-10.0.0.128] [34mINFO [0;39m o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested. 
2022-01-04 16:54:09,619 [RMI TCP Connection(2)-10.0.0.128] [34mINFO [0;39m o.s.orm.jpa.LocalContainerEntityManagerFactoryBean           : Closing JPA EntityManagerFactory for persistence unit 'default' 
2022-01-04 16:54:09,620 [RMI TCP Connection(2)-10.0.0.128] [34mINFO [0;39m o.h.t.s.internal.SchemaDropperImpl$DelayedDropActionImpl     : HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down' 
2022-01-04 16:54:09,846 [RMI TCP Connection(2)-10.0.0.128] [31mWARN [0;39m o.s.beans.factory.support.DisposableBeanAdapter              : Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-200] 
2022-01-04 16:54:09,851 [RMI TCP Connection(2)-10.0.0.128] [34mINFO [0;39m com.zaxxer.hikari.HikariDataSource                           : HikariPool-1 - Shutdown initiated... 
2022-01-04 16:54:09,862 [RMI TCP Connection(2)-10.0.0.128] [34mINFO [0;39m com.zaxxer.hikari.HikariDataSource                           : HikariPool-1 - Shutdown completed. 
2022-01-04 16:56:56.846 [restartedMain] [34mINFO [0;39m c.i.r.w.restfulwebservices.RestfulWebServicesApplication     : Starting RestfulWebServicesApplication using Java 1.8.0_102 on Elias-PC with PID 9004 (C:\Users\Elias\Desktop\restful-web-services\target\classes started by Elias in C:\Users\Elias\Desktop\restful-web-services) 
2022-01-04 16:56:56.843 [background-preinit] [34mINFO [0;39m org.hibernate.validator.internal.util.Version                : HV000001: Hibernate Validator 6.2.0.Final 
2022-01-04 16:56:56.847 [restartedMain] [34mINFO [0;39m c.i.r.w.restfulwebservices.RestfulWebServicesApplication     : No active profile set, falling back to default profiles: default 
2022-01-04 16:56:56.942 [restartedMain] [34mINFO [0;39m o.s.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor  : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2022-01-04 16:56:56.942 [restartedMain] [34mINFO [0;39m o.s.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor  : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2022-01-04 16:56:59.151 [restartedMain] [34mINFO [0;39m o.s.data.repository.config.RepositoryConfigurationDelegate   : Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2022-01-04 16:56:59.283 [restartedMain] [34mINFO [0;39m o.s.data.repository.config.RepositoryConfigurationDelegate   : Finished Spring Data repository scanning in 109 ms. Found 1 JPA repository interfaces. 
2022-01-04 16:57:00.802 [restartedMain] [34mINFO [0;39m org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8080 (http) 
2022-01-04 16:57:00.816 [restartedMain] [34mINFO [0;39m org.apache.coyote.http11.Http11NioProtocol                   : Initializing ProtocolHandler ["http-nio-8080"] 
2022-01-04 16:57:00.817 [restartedMain] [34mINFO [0;39m org.apache.catalina.core.StandardService                     : Starting service [Tomcat] 
2022-01-04 16:57:00.817 [restartedMain] [34mINFO [0;39m org.apache.catalina.core.StandardEngine                      : Starting Servlet engine: [Apache Tomcat/9.0.56] 
2022-01-04 16:57:00.991 [restartedMain] [34mINFO [0;39m o.a.catalina.core.ContainerBase.[Tomcat].[localhost].[/]     : Initializing Spring embedded WebApplicationContext 
2022-01-04 16:57:00.992 [restartedMain] [34mINFO [0;39m o.s.b.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 4049 ms 
2022-01-04 16:57:01.395 [restartedMain] [34mINFO [0;39m com.zaxxer.hikari.HikariDataSource                           : HikariPool-1 - Starting... 
2022-01-04 16:57:01.747 [restartedMain] [34mINFO [0;39m com.zaxxer.hikari.HikariDataSource                           : HikariPool-1 - Start completed. 
2022-01-04 16:57:01.760 [restartedMain] [34mINFO [0;39m o.s.boot.autoconfigure.h2.H2ConsoleAutoConfiguration         : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb' 
2022-01-04 16:57:02.303 [restartedMain] [34mINFO [0;39m org.hibernate.jpa.internal.util.LogHelper                    : HHH000204: Processing PersistenceUnitInfo [name: default] 
2022-01-04 16:57:02.385 [restartedMain] [34mINFO [0;39m org.hibernate.Version                                        : HHH000412: Hibernate ORM core version 5.6.3.Final 
2022-01-04 16:57:02.679 [restartedMain] [34mINFO [0;39m org.hibernate.annotations.common.Version                     : HCANN000001: Hibernate Commons Annotations {5.1.2.Final} 
2022-01-04 16:57:02.917 [restartedMain] [34mINFO [0;39m org.hibernate.dialect.Dialect                                : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect 
2022-01-04 16:57:04.244 [restartedMain] [34mINFO [0;39m o.h.e.transaction.jta.platform.internal.JtaPlatformInitiator : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
2022-01-04 16:57:04.256 [restartedMain] [34mINFO [0;39m o.s.orm.jpa.LocalContainerEntityManagerFactoryBean           : Initialized JPA EntityManagerFactory for persistence unit 'default' 
2022-01-04 16:57:05.236 [restartedMain] [31mWARN [0;39m o.s.b.a.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration     : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2022-01-04 16:57:08.688 [restartedMain] [34mINFO [0;39m o.s.boot.devtools.autoconfigure.OptionalLiveReloadServer     : LiveReload server is running on port 35729 
2022-01-04 16:57:08.709 [restartedMain] [34mINFO [0;39m o.s.boot.actuate.endpoint.web.EndpointLinksResolver          : Exposing 13 endpoint(s) beneath base path '/actuator' 
